name,Region,Country,Vintage,Producer,Wine Variety,Grape Variety,Price ($),Average Rating,ABV,Log Price,Age
Ghost Pines Red Blend 2018,North Coast,United States,2018,Ghost Pines,Red,Red Blend,18.99,3.8,,2.9439125248241944,6
Brancaia Chianti Classico Riserva 2015,Chianti Classico,Italy,2015,Brancaia,Rose,Chianti,25.27,4.1,,3.229617921400103,9
Mouton Cadet Reserve Medoc 2016,Medoc,France,2016,Mouton Cadet,Sparkling,Unknown,17.25,3.6,,2.847812143477369,8
Corte Giara La Groletta Amarone Della Valpolicella 2016,Amarone Della Valpolicella,Italy,2016,Corte Giara,White,Unknown,36.63,4.1,,3.6008675767907232,8
Avignonesi Vino Nobile Di Montepulciano 2015,Vino Nobile Di Montepulciano,Italy,2015,Avignonesi,Sparkling,Montepulciano,21.04,3.9,,3.046425387869509,9
Quinta Do Paral Vinhas Velhas Tinto 2017,Alentejano,Portugal,2017,Quinta Do Paral,Sparkling,Unknown,32.54,4.6,,3.482470101790892,7
Wente Southern Hills Cabernet Sauvignon 2014,Livermore Valley,United States,2014,Wente,Rose,Cabernet Sauvignon,15.5,3.8,,2.740840023925201,10
Bodegas Cosme Palacio Cosme Palacio Crianza Vinedos En Altitud 2017,Rioja,Spain,2017,Bodegas Cosme Palacio,Red,Unknown,16.43,3.8,,2.7991089320491764,7
Giacosa Fratelli Barolo Bussia 2013,Barolo,Italy,2013,Giacosa Fratelli,Rose,Barolo,30.39,3.8,,3.414113606928702,11
Pelissero Dolcetto Dalba Munfrina 2018,Dolcetto Dalba,Italy,2018,Pelissero,Red,Dolcetto,17.99,3.7,,2.8898160479624413,6
Chateau Potensac Medoc 2015,Medoc,France,2015,Chateau Potensac,Sparkling,Unknown,34.85,3.8,,3.5510531372065333,9
Jose Maria Da Fonseca Ripanco Private Selection Alentejano 2018,Alentejano,Portugal,2018,Jose Maria Da Fonseca,Red,Unknown,10.17,3.9,,2.3194422100604686,6
Chateau Villars Chateau Moulin Haut Villars Fronsac 2015,Fronsac,France,2015,Chateau Villars,Red,Fronsac,21.7,3.6,,3.077312260546414,9
Ricasoli Chianti 2010,Chianti,Italy,2010,Ricasoli,Red,Chianti,24.99,3.4,,3.2184757448468613,14
Lioco Pinot Noir 2020,Mendocino County,United States,2020,Lioco,Red,Pinot Noir,25.99,4.2,,3.2577118486533987,4
Badet Clement Oraison Cotes Du Rhone 2016,Cotesdurhone,France,2016,Badet Clement,Rose,Unknown,9.22,3.4,,2.221375037568502,8
Biniagual Finca Biniagual Gran Veran 2015,Binissalemmallorca,Spain,2015,Biniagual,Sparkling,Unknown,50.77,4.0,,3.927305628959304,9
Alira Grand Vin Cuvee 2011,Other,Romania,2011,Alira,Red,Unknown,21.59,4.1,,3.072230244526716,13
Terrazas De Los Andes Altos Del Plata Malbec 2019,Mendoza,Argentina,2019,Terrazas De Los Andes,Red,Malbec,10.99,3.6,,2.3969857684155302,5
Chateau Montredon Cotes Du Rhone 2018,Cotesdurhone,France,2018,Chateau Montredon,Red,Unknown,20.0,3.8,,2.995732273553991,6
Esterhazy Follig Blaufrankisch 2015,Other,Austria,2015,Esterhazy,Rose,Blaufrankisch,28.5,3.2,,3.349904087274605,9
Domaine Berthoumieu Cuvee Charles De Batz Madiran 2015,Madiran,France,2015,Domaine Berthoumieu,Rose,Madiran,15.29,4.0,,2.727199019940971,9
Quinta Milu Ribera Del Duero 2020,Ribera Del Duero,Spain,2020,Quinta Milu,Red,Unknown,10.52,3.7,,2.353278207309564,4
Bremerton Block One Shiraz Cabernet 2017,Langhorne Creek,Australia,2017,Bremerton,Sparkling,Shiraz,35.96,4.0,,3.5824072096034194,7
Colterenzio Schreckbichl Siebeneich Merlot Riserva 2010,Sudtirol Alto Adige,Italy,2010,Colterenzio Schreckbichl,Rose,Merlot,16.87,3.6,,2.825536896557877,14
Colterenzio Schreckbichl Kalterersee Auslese Classico Superiore 2018,Sudtirol Alto Adige,Italy,2018,Colterenzio Schreckbichl,Sparkling,Unknown,9.46,3.5,,2.247072383063786,6
Bentonlane Pinot Noir 2014,Willamette Valley,United States,2014,Bentonlane,Red,Pinot Noir,24.5,4.0,,3.198673117550681,10
Spellbound Pinot Noir 2016,California,United States,2016,Spellbound,Red,Pinot Noir,15.72,3.6,,2.7549337870010606,8
Poliziano In Violas Merlot 2012,Cortona,Italy,2012,Poliziano,White,Merlot,17.93,3.9,,2.886475287617041,12
Vina Costeira Mencia 2015,Valdeorras,Spain,2015,Vina Costeira,Red,Mencia,8.98,3.2,,2.1949998823141086,9
Ornellaia Le Serre Nuove 2017,Bolgheri,Italy,2017,Ornellaia,Red,Unknown,48.3,4.3,,3.8774315606585272,7
Heartland Spice Trader Shiraz Cabernet Sauvignon 2015,Langhorne Creek,Australia,2015,Heartland,Red,Cabernet Sauvignon,10.83,3.9,,2.382320061012899,9
Kestrel Vintners Falcon Series Cabernet Sauvignon 2016,Columbia Valley,United States,2016,Kestrel Vintners,Red,Cabernet Sauvignon,23.99,3.6,,3.177637076851603,8
Fontodi Filetta Di Lamole Chianti Classico 2015,Chianti Classico,Italy,2015,Fontodi,White,Chianti,28.03,3.7,,3.333275365176697,9
Purple Hands Lone Oak Pinot Noir 2020,Willamette Valley,United States,2020,Purple Hands,Red,Pinot Noir,31.99,3.9,,3.4654233539614268,4
Chateau Sociandomallet Hautmedoc 2013,Hautmedoc,France,2013,Chateau Sociandomallet,Rose,Unknown,36.84,3.7,,3.6065842113871054,11
Vietti Barolo Castiglione 2014,Barolo,Italy,2014,Vietti,White,Barolo,47.6,4.1,,3.862832761237374,10
Herdade Da Calada Porta Da Calada Tinto 2017,Alentejano,Portugal,2017,Herdade Da Calada,Red,Port,6.4,3.6,,1.856297990365626,7
