name,Region,Country,Vintage,Producer,Wine Variety,Grape Variety,Price ($),Average Rating,ABV,Log Price,Age
Hewitson Baby Bush Mourvedre 2019,Barossa Valley,Australia,2019,Hewitson,Red,Mourvedre,27.99,3.9,,3.331847303527362,5
Weninger Vom Kalk Pinot Noir 2015,Mittelburgenland,Austria,2015,Weninger,Red,Pinot Noir,16.98,3.6,,2.8320361808832013,9
Domaine Des Bosquets Gigondas 2015,Gigondas,France,2015,Domaine Des Bosquets,White,Gigondas,22.73,4.0,,3.1236856378644515,9
Chateau Leoville Barton Saintjulien Grand Cru Classe 2012,Saintjulien,France,2012,Chateau Leoville Barton,Rose,Unknown,89.37,4.2,,4.4927850553933,12
Diemersfontein The Original Pinotage 2017,Wellington,South Africa,2017,Diemersfontein,Red,Pinotage,19.99,4.1,,2.9952321485123083,7
Rainbows End Cabernet Franc 2017,Stellenbosch,South Africa,2017,Rainbows End,Red,Cabernet Franc,18.39,4.0,,2.91180703861623,7
Ramon Bilbao Mirto 2014,Rioja,Spain,2014,Ramon Bilbao,Sparkling,Unknown,40.47,4.3,,3.700560958887774,10
El Meson Rioja Crianza 2016,Rioja,Spain,2016,El Meson,Sparkling,Rioja,8.35,3.8,,2.122261538862764,8
Allegrini La Poja Monovitigno Corvina Veronese 2012,Verona,Italy,2012,Allegrini,Red,Corvina,68.25,4.2,,4.223177434065069,12
19 Crimes The Banished Dark Red 2018,South Eastern Australia,Australia,2018,19 Crimes,Sparkling,Unknown,12.47,4.0,,2.523325759691945,6
Luzon Coleccion Monastrell 2018,Jumilla,Spain,2018,Luzon,Red,Unknown,3.92,3.4,,1.366091653802371,6
Castoro Cellars Merlot 2016,Paso Robles,United States,2016,Castoro Cellars,Red,Merlot,14.99,3.5,,2.7073833121145063,8
Keringer Aviator Blaufrankisch 2018,Neusiedlersee,Austria,2018,Keringer,Sparkling,Blaufrankisch,10.31,3.8,,2.3331142980288684,6
Glen Carlou Grand Classique Red Blend 2016,Paarl,South Africa,2016,Glen Carlou,Rose,Red Blend,18.34,3.8,,2.9090844668283187,8
Woodbridge By Robert Mondavi Red Blend 2018,California,United States,2018,Woodbridge By Robert Mondavi,Red,Red Blend,7.09,3.7,,1.958685340544036,6
Grant Burge Hillcot Merlot 2016,Barossa,Australia,2016,Grant Burge,Red,Merlot,18.18,3.8,,2.9003220887493324,8
