name,Region,Country,Vintage,Producer,Wine Variety,Grape Variety,Price ($),Average Rating,ABV,Log Price,Age
Salzl Seewinkelhof Merlot Reserve 2017,Burgenland,Austria,2017,Salzl Seewinkelhof,Sparkling,Merlot,18.99,4.0,,2.9439125248241944,7
Tinazzi Vinum Italicum No 3 Opera 2017,Veneto,Italy,2017,Tinazzi,Red,Unknown,21.65,4.2,,3.075005454448499,7
La Rioja Alta Vina Arana Reserva 2011,Rioja,Spain,2011,La Rioja Alta,Red,Rioja,22.73,4.0,,3.1236856378644515,13
Bodega Finca Las Moras Los Intocables Black Malbec 2018,San Juan,Argentina,2018,Bodega Finca Las Moras,Rose,Malbec,12.9,3.9,,2.5572273113676265,6
Bera Barolo 2015,Barolo,Italy,2015,Bera,White,Barolo,29.51,3.9,,3.3847291889548483,9
La Spinetta Vursu Barbaresco Valeirano 2012,Barbaresco,Italy,2012,La Spinetta,Sparkling,Unknown,125.53,4.2,,4.832544773830118,12
Domaine De La Cote Sta Rita Hills Pinot Noir 2014,Sta Rita Hills,United States,2014,Domaine De La Cote,White,Pinot Noir,47.63,4.2,,3.863462814812769,10
Louis Latour Domaine Latour Aloxecorton 2014,Other,France,2014,Louis Latour,Red,Unknown,46.54,4.1,,3.840312157874145,10
Chateau Hermitage Mazeyres Pomerol 2015,Pomerol,France,2015,Chateau Hermitage Mazeyres,Sparkling,Pomerol,27.94,3.8,,3.330059353828816,9
Castillo De Albai Reserva Rioja 2015,Rioja,Spain,2015,Castillo De Albai,Red,Rioja,9.71,3.6,,2.273156282303234,9
Settesoli Cabernet Sauvignon Sicilia 2018,Terre Siciliane,Italy,2018,Settesoli,White,Cabernet Sauvignon,6.28,3.3,,1.8373699804801076,6
Niner Bootjack Red 2017,Paso Robles,United States,2017,Niner,Red,Other Red Blends,22.17,3.8,13.5,3.0987400236282205,7
Abadia Da Cova Mencia 2017,Ribeira Sacra,Spain,2017,Abadia Da Cova,Red,Mencia,15.99,3.7,,2.771963526845863,7
Fortant Terroir Daltitude Syrah 2017,Languedocroussillon,France,2017,Fortant,White,Syrah,9.45,3.8,,2.2460147415056517,7
Terra Linda Syrah 2019,La Mancha,Spain,2019,Terra Linda,Sparkling,Syrah,7.05,3.7,,1.9530276168241767,5
Joseph Drouhin Beaujolaisvillages 2018,Beaujolaisvillages,France,2018,Joseph Drouhin,White,Unknown,10.47,3.5,,2.3485140248824456,6
Matsu El Viejo 2017,Toro,Spain,2017,Matsu,Rose,Unknown,30.71,4.1,,3.4245883344527317,7
Castagnoli Chianti Classico 2015,Chianti,Italy,2015,Castagnoli,Red,Chianti,29.99,3.9,,3.4008639927609177,9
Andeluna 1300 Merlot 2016,Tupungato,Argentina,2016,Andeluna,Red,Merlot,8.35,3.3,,2.122261538862764,8
Chateau Marquis De Terme Margaux Grand Cru Classe 2017,Margaux,France,2017,Chateau Marquis De Terme,Sparkling,Margaux,55.0,3.8,,4.007333185232471,7
Terme Vacqueyras 2015,Vacqueyras,France,2015,Terme,Red,Unknown,26.0,3.8,,3.258096538021482,9
Protos Seleccion Finca El Grajo Viejo 2012,Ribera Del Duero,Spain,2012,Protos,Sparkling,Unknown,59.57,4.1,,4.087152091640596,12
Vivanco Crianza Rioja 2016,Rioja,Spain,2016,Vivanco,White,Rioja,13.66,3.7,,2.614471854142644,8
Niepoort Dao Rotulo Tinto 2018,Dao,Portugal,2018,Niepoort,Red,Unknown,17.99,3.6,,2.8898160479624413,6
Casa Rojo Alexander The Great 2015,Ribera Del Duero,Spain,2015,Casa Rojo,White,Unknown,29.57,4.1,,3.386760333864386,9
Fontanafredda Papagena Barbera Dalba Superiore 2014,Barbera Dalba,Italy,2014,Fontanafredda,Sparkling,Barbera,17.71,3.7,,2.8741294517947424,10
Achavalferrer Quimera 2013,Mendoza,Argentina,2013,Achavalferrer,Rose,Unknown,35.26,4.2,,3.562749176969724,11
Vallone Versante Negroamaro 2015,Salento,Italy,2015,Vallone,Rose,Negroamaro,6.73,3.4,,1.9065751436566365,9
Esser Cabernet Sauvignon 2017,Monterey County,United States,2017,Esser,Red,Cabernet Sauvignon,8.99,3.7,,2.196112848483529,7
Delaire Graff Botmaskop 2017,Stellenbosch,South Africa,2017,Delaire Graff,Red,Unknown,21.05,4.1,,3.0469005601283903,7
Petra Hebo Suvereto 2017,Toscana,Italy,2017,Petra,White,Unknown,15.14,3.8,,2.717340248009303,7
Michele Chiarlo Cipressi Nizza 2017,Barbera Dasti,Italy,2017,Michele Chiarlo,White,Unknown,16.39,3.9,,2.7966713927557385,7
Chateau Meyney Saintestephe 2014,Saintestephe,France,2014,Chateau Meyney,White,Unknown,37.01,4.1,,3.6111881463980646,10
Ricasoli Rocca Guicciarda Chianti Classico Riserva 2016,Chianti Classico,Italy,2016,Ricasoli,White,Chianti,14.96,3.7,,2.7053799725463312,8
Mesa Buio Buio 2016,Carignano Del Sulcis,Italy,2016,Mesa,White,Unknown,34.71,3.9,,3.547027829873695,8
Weingut Philipp Grassl Zweigelt Classic 2017,Carnuntum,Austria,2017,Weingut Philipp Grassl,Rose,Zweigelt,11.39,3.7,,2.4327357774590905,7
Baigorri Reserva Rioja Tempranillo 2011,Rioja,Spain,2011,Baigorri,Red,Tempranillo,29.09,4.0,,3.3703944725071104,13
Dark Horse Cabernet Sauvignon 2018,California,United States,2018,Dark Horse,Red,Cabernet Sauvignon,9.29,3.7,,2.2289385528257477,6
Cedar Salmon Pinot Noir 2018,Willamette Valley,United States,2018,Cedar Salmon,Red,Pinot Noir,21.99,3.7,,3.090587804566669,6
Weingut Metzger Schwarzer 2017,Pfalz,Germany,2017,Weingut Metzger,White,Unknown,14.27,3.6,,2.658159431488745,7
Enzo Boglietti Fossati Barolo 2015,Barolo,Italy,2015,Enzo Boglietti,Red,Barolo,78.79,4.0,,4.366786085257597,9
Taylors Wakefield Single Vineyard Release St Andrews Cabernet Sauvignon 2016,Clare Valley,Australia,2016,Taylors Wakefield,White,Cabernet Sauvignon,23.67,4.0,,3.164208423525893,8
San Marzano Sud Primitivo Di Manduria 2018,Primitivo Di Manduria,Italy,2018,San Marzano,Rose,Primitivo,7.58,3.9,,2.0255131996542803,6
Raimat Pirinenca Tempranillo 2018,Cataluna,Spain,2018,Raimat,Red,Unknown,10.24,3.5,,2.3263016196113617,6
Bodega Tandem Ars Nova 2010,Navarra,Spain,2010,Bodega Tandem,White,Unknown,12.9,3.6,,2.5572273113676265,14
Planeta Cerasuolo Di Vittoria 2018,Other,Italy,2018,Planeta,Red,Unknown,11.41,3.7,,2.434490163873984,6
Farnese Primo Montepulciano Dabruzzo 2018,Montepulciano Dabruzzo,Italy,2018,Farnese,Red,Montepulciano,7.19,3.6,,1.9726911717329556,6
Chateau Fonreaud Listracmedoc 2017,Listracmedoc,France,2017,Chateau Fonreaud,Red,Unknown,27.15,3.8,,3.3013770463799443,7
Cesari Valpolicella Classico 2018,Valpolicella Classico,Italy,2018,Cesari,Rose,Unknown,8.25,3.5,,2.110213200346589,6
Ego Goru Gold 2017,Jumilla,Spain,2017,Ego,Red,Unknown,13.21,3.8,,2.580974118534234,7
Heger Vitus Spatburgunder 2013,Baden,Germany,2013,Heger,White,Unknown,19.08,3.5,,2.94864066602014,11
Borgogno Barolo Liste 2014,Barolo,Italy,2014,Borgogno,Sparkling,Barolo,76.27,4.1,,4.334279676176148,10
Talbott Logan Pinot Noir 2016,Other,United States,2016,Talbott,Red,Pinot Noir,22.99,3.9,,3.1350593387750902,8
Chateau La Tour Carnet Hautmedoc Grand Cru Classe 2015,Hautmedoc,France,2015,Chateau La Tour Carnet,Red,Unknown,42.86,4.0,,3.757938990045431,9
Niel Joubert Shiraz 2015,Paarl,South Africa,2015,Niel Joubert,Rose,Shiraz,6.78,3.4,,1.9139771019523044,9
St Francis Merlot 2017,Other,United States,2017,St Francis,Red,Merlot,19.97,3.8,,2.9942311474277234,7
Chateau De Lorangerie Bordeaux Superieur 2019,Bordeaux,France,2019,Chateau De Lorangerie,Red,Unknown,15.99,3.9,,2.771963526845863,5
La Carlina Bionzo Barbera Dasti Superiore 2017,Barbera Dasti,Italy,2017,La Carlina,Red,Barbera,19.99,3.9,,2.9952321485123083,7
Salwey Spatburgunder Kaiserstuhl 2015,Baden,Germany,2015,Salwey,Red,Unknown,12.48,3.6,,2.524127362941281,9
Analec La Creu Vi Negre 2018,Costers Del Segre,Spain,2018,Analec,Red,Unknown,8.34,3.6,,2.121063216370655,6
San Marzano Sud Tarantino Primitivo Merlot 2018,Other,Italy,2018,San Marzano,Sparkling,Merlot,7.3,3.7,,1.9878743481543453,6
Chateau Le Coteau Margaux 2014,Margaux,France,2014,Chateau Le Coteau,Sparkling,Margaux,24.85,4.0,,3.212857752542638,10
Clotaire Michal La Napoleon Beaujolais Villages 2018,Beaujolaisvillages,France,2018,Clotaire Michal,Rose,Unknown,17.46,3.7,,2.8599125504114564,6
El Vinculo La Mancha Reserva 2013,La Mancha,Spain,2013,El Vinculo,Red,Unknown,14.09,3.6,,2.6454653259105885,11
Ermita Del Conde El Vuelo 2013,Castilla Y Leon,Spain,2013,Ermita Del Conde,Red,Unknown,8.57,3.5,,2.1482677326096886,11
Krebs Spatburgunder Trocken 2016,Pfalz,Germany,2016,Krebs,Rose,Unknown,11.96,3.4,,2.481567748522486,8
Olianas Perdixi 2013,Isola Dei Nuraghi,Italy,2013,Olianas,Red,Unknown,21.16,3.7,,3.052112606990099,11
Tridente Tempranillo 2008,Castilla Y Leon,Spain,2008,Tridente,Red,Tempranillo,20.99,3.7,,3.0440461338325417,16
Piedlong Chateauneufdupape 2014,Chateauneufdupape,France,2014,Piedlong,White,Unknown,50.82,4.0,,3.9282899778920175,10
Chateau De Manissy Cotes Du Rhone Rouge 2018,Cotesdurhone,France,2018,Chateau De Manissy,Rose,Unknown,9.42,3.5,,2.242835088588272,6
Heinrich Gabarinza 2016,Burgenland,Austria,2016,Heinrich,White,Unknown,39.25,4.1,,3.669951444228417,8
Chateau Belairmonange Saintemilion Grand Cru Premier Grand Cru Classe 2014,Saintemilion Grand Cru,France,2014,Chateau Belairmonange,White,Unknown,142.1,4.0,,4.956531035103055,10
Bodegas Casa Primicia Crianza 2015,Rioja,Spain,2015,Bodegas Casa Primicia,Sparkling,Unknown,11.4,3.7,,2.4336133554004498,9
Avignonesi Desiderio Merlot 2014,Cortona,Italy,2014,Avignonesi,Rose,Merlot,47.63,4.1,,3.863462814812769,10
Schiopetto Rivarossa 2015,Venezia Giulia,Italy,2015,Schiopetto,White,Unknown,68.25,4.0,,4.223177434065069,9
Casa Santos Lima Palha Canas Tinto 2016,Lisboa,Portugal,2016,Casa Santos Lima,White,Unknown,9.66,3.6,,2.2679936482244267,8
Le Chiantigiane Passo Perfetto Terre Di Chieti Rosso 2017,Other,Italy,2017,Le Chiantigiane,Rose,Chianti,7.39,3.5,,2.0001277349601105,7
Clos Du Caillou Les Quartz Chateauneufdupape 2017,Chateauneufdupape,France,2017,Clos Du Caillou,White,Unknown,61.7,4.0,,4.122283930911342,7
Keringer Zweigelt Neusiedlersee 2018,Neusiedlersee,Austria,2018,Keringer,Sparkling,Zweigelt,8.63,3.7,,2.155244505095337,6
Banfi Aska Bolgheri 2016,Bolgheri,Italy,2016,Banfi,Sparkling,Unknown,17.25,4.0,,2.847812143477369,8
Elena Walch Per Se Kalterersee Classico Superiore 2018,Sudtirol Alto Adige,Italy,2018,Elena Walch,Sparkling,Unknown,17.31,3.7,,2.851284369188118,6
Woodhaven Zinfandel 2018,California,United States,2018,Woodhaven,Rose,Zinfandel,8.63,4.0,,2.155244505095337,6
Fontella Chianti 2019,Chianti,Italy,2019,Fontella,Red,Chianti,12.99,3.5,,2.564179830682508,5
Altos De Tamaron Roble Ribera Del Duero 2020,Ribera Del Duero,Spain,2020,Altos De Tamaron,Red,Roble Ribera Del Duero,7.22,3.4,,1.9768549529047348,4
Tenuta Meraviglia Dievole Maestro Di Cava 2016,Bolgheri Superiore,Italy,2016,Tenuta Meraviglia,Red,Unknown,64.01,4.3,,4.159039321153911,8
Bodegas Castillo De Sajazarra Reserva 2014,Rioja,Spain,2014,Bodegas Castillo De Sajazarra,Red,Unknown,23.76,3.7,,3.1680034944944446,10
Chateau Lascombes Margaux Grand Cru Classe 2011,Margaux,France,2011,Chateau Lascombes,Rose,Margaux,96.56,4.2,,4.570164576789276,13
Kopp Spatburgunder Roter Porphyr 2016,Baden,Germany,2016,Kopp,Red,Unknown,16.68,3.5,,2.8142103969306005,8
Braida Bricco Della Bigotta Barbera Dasti 2016,Barbera Dasti,Italy,2016,Braida,Red,Barbera,54.14,4.1,,3.9915732841861553,8
Nals Margreid Sand Lagrein 2018,Sudtirol Alto Adige,Italy,2018,Nals Margreid,Sparkling,Lagrein,12.16,3.9,,2.4981518765380213,6
Palacios Remondo La Montesa 2016,Rioja,Spain,2016,Palacios Remondo,Rose,Unknown,15.14,4.0,,2.717340248009303,8
Rust En Vrede Estate Red 2016,Stellenbosch,South Africa,2016,Rust En Vrede,Rose,Unknown,35.79,4.2,,3.5776685247779345,8
Chateau Branecantenac Margaux Grand Cru Classe 2016,Margaux,France,2016,Chateau Branecantenac,Sparkling,Margaux,104.71,4.2,,4.651194624299371,8
The Crusher Merlot 2016,California,United States,2016,The Crusher,Red,Merlot,12.99,3.8,,2.564179830682508,8
Thunevincalvet Les Trois Marie Cotes Du Roussillon Villages 2013,Cotes Du Roussillon Villages,France,2013,Thunevincalvet,Rose,Unknown,116.34,4.2,,4.756516938482616,11
Bodega Piedra Negra Reserve Cabernet Sauvignon Mendoza 2017,Mendoza,Argentina,2017,Bodega Piedra Negra,Sparkling,Cabernet Sauvignon,13.56,3.8,,2.6071242825122494,7
Falset Marca Imus Selection 2020,Montsant,Spain,2020,Falset Marca,Red,Unknown,4.72,3.2,,1.551808799597464,4
Vina Albina Reserva 2014,Rioja,Spain,2014,Vina Albina,Red,Unknown,13.65,3.6,,2.613739521630969,10
Campo Viejo Gran Reserva 2012,Rioja,Spain,2012,Campo Viejo,Red,Unknown,17.14,3.8,,2.841414913169634,12
Robert Mondavi Private Selection Zinfandel 2017,California,United States,2017,Robert Mondavi Private Selection,Red,Zinfandel,14.99,3.9,,2.7073833121145063,7
Catena Zapata Malbec Argentino 2013,Mendoza,Argentina,2013,Catena Zapata,Rose,Malbec,83.55,3.8,,4.425445255041403,11
Villa Maria Private Bin Merlot Cabernet Sauvignon 2012,Hawkes Bay,New Zealand,2012,Villa Maria,Red,Cabernet Sauvignon,10.88,3.5,,2.3869262414277967,12
Kendalljackson Vintners Reserve Chardonnay 2020,California,United States,2020,Kendalljackson,White,Chardonnay,14.78,4.0,13.5,2.693274915520056,4
Domaine Francois Buffet Volnay 1Er Cru Carelle Sous La Chapelle 2011,Other,France,2011,Domaine Francois Buffet,Rose,Unknown,62.39,3.8,,4.133405006122695,13
19 Crimes Cabernet Sauvignon 2013,Other,Australia,2013,19 Crimes,Red,Cabernet Sauvignon,8.99,3.7,,2.196112848483529,11
Jules Taylor Pinot Noir 2019,Marlborough,New Zealand,2019,Jules Taylor,Red,Pinot Noir,19.71,3.7,13.5,2.9811261211646287,5
Tenute Guicciardini Strozzi Momi Maremma Toscana 2017,Maremma Toscana,Italy,2017,Tenute Guicciardini Strozzi,Red,Unknown,14.09,3.7,,2.6454653259105885,7
Lidio Carraro Dadivas Tempranillo 2016,Encruzilhada Do Sul,Brazil,2016,Lidio Carraro,White,Tempranillo,17.92,3.6,,2.8859174075467844,8
Fattoria Aldobrandesca Vie Cave Maremma Toscana 2016,Maremma Toscana,Italy,2016,Fattoria Aldobrandesca,Sparkling,Unknown,26.58,4.0,,3.2801590532850997,8
Chronic Purple Paradise 2017,Paso Robles,United States,2017,Chronic,Red,Unknown,28.99,3.8,,3.366950942933564,7
Braida Bricco Delluccellone Barbera Dasti 2017,Barbera Dasti,Italy,2017,Braida,Red,Barbera,54.14,4.4,,3.9915732841861553,7
Vietti Barolo Castiglione 2016,Barolo,Italy,2016,Vietti,White,Barolo,50.77,4.1,,3.927305628959304,8
Can Sumoi Sumoll Garnatxa 2019,Cataluna,Spain,2019,Can Sumoi,Red,Unknown,12.88,4.0,,2.5556757206762075,5
Brotte Crozeshermitage La Rollande 2016,Crozeshermitage,France,2016,Brotte,Red,Unknown,21.99,3.8,,3.090587804566669,8
Rainbows End Shiraz 2016,Stellenbosch,South Africa,2016,Rainbows End,Rose,Shiraz,16.22,3.8,,2.7862450486872667,8
Tardieulaurent Cuvee Speciale Chateauneufdupape 2005,Chateauneufdupape,France,2005,Tardieulaurent,Red,Unknown,65.04,4.2,,4.1750024652395545,19
Chateau Grandpuylacoste Lacoste Borie Pauillac 2016,Pauillac,France,2016,Chateau Grandpuylacoste,White,Unknown,36.84,3.7,,3.6065842113871054,8
Ferrari Carano Merlot 2011,Sonoma County,United States,2011,Ferrari Carano,Red,Merlot,27.99,3.8,,3.331847303527362,13
Negro Angelo Sudisfa Roero Riserva 2016,Other,Italy,2016,Negro Angelo,Sparkling,Unknown,35.7,4.2,,3.5751506887855933,8
Crane Lake Shiraz 2015,California,United States,2015,Crane Lake,Rose,Shiraz,10.05,3.5,,2.307572634505085,9
Domaine Jeanmichel Stephan Coterotie 2016,Coterotie,France,2016,Domaine Jeanmichel Stephan,Red,Coterotie,69.44,3.9,,4.240463070352095,8
Montgras Ninquen Mountain Vineyard 2014,Colchagua Valley,Chile,2014,Montgras,Sparkling,Unknown,28.75,4.0,,3.3586377672433594,10
Gallina De Piel Mimetic 2018,Calatayud,Spain,2018,Gallina De Piel,Red,Unknown,9.24,3.8,,2.2235418856535927,6
Tenuta Castiglioni Toscana 2017,Toscana,Italy,2017,Tenuta Castiglioni,White,Unknown,22.4,4.0,,3.109060958860994,7
Vina Real Rioja Crianza 2016,Rioja,Spain,2016,Vina Real,White,Rioja,8.35,3.5,,2.122261538862764,8
Les Hauts De Belair Bordeaux 2018,Bordeaux,France,2018,Les Hauts De Belair,Red,Unknown,7.3,3.2,,1.9878743481543453,6
Rings Das Kleine Kreuz 2017,Pfalz,Germany,2017,Rings,White,Unknown,21.37,4.0,,3.0619880693310564,7
Chateau Du Courlat Lussacsaintemilion Cuvee Jeanbaptiste 2008,Other,France,2008,Chateau Du Courlat,Red,Unknown,17.31,3.6,,2.851284369188118,16
Poliziano Asinone Vino Nobile Di Montepulciano 2014,Vino Nobile Di Montepulciano,Italy,2014,Poliziano,Red,Montepulciano,38.95,4.1,,3.662278772316757,10
Budureasca Premium Zenovius Cabernet Sauvignon Shiraz Sec 2016,Dealu Mare,Romania,2016,Budureasca,Sparkling,Cabernet Sauvignon,11.39,3.6,,2.4327357774590905,8
Mandrarossa Cabernet Sauvignon Serra Brada 2014,Terre Siciliane,Italy,2014,Mandrarossa,Red,Cabernet Sauvignon,10.26,3.3,,2.3282528397426234,10
Balnaves The Blend 2017,Other,Australia,2017,Balnaves,Red,Blend,20.89,3.6,,3.039270575568475,7
Vietti Barbera Dasti La Crena 2016,Barbera Dasti,Italy,2016,Vietti,White,Barbera,40.04,4.2,,3.68987895444702,8
Santa Cristina Toscana 2018,Toscana,Italy,2018,Santa Cristina,Sparkling,Unknown,7.91,3.7,,2.0681277817795625,6
Tedeschi Amarone Della Valpolicella 2012,Amarone Della Valpolicella,Italy,2012,Tedeschi,Red,Unknown,28.11,4.2,,3.33612538491844,12
Neil Ellis Cabernet Sauvignon 2017,Stellenbosch,South Africa,2017,Neil Ellis,Red,Cabernet Sauvignon,17.13,3.7,,2.8408313123360287,7
Callie Collection Fresh Red Blend 2014,Central Coast,United States,2014,Callie Collection,Red,Red Blend,11.97,3.6,,2.482403519569882,10
Torres Perpetual 2016,Priorat,Spain,2016,Torres,Rose,Unknown,43.39,4.3,,3.7702289998102594,8
Giacomo Fenocchio Barolo Riserva Bussia 90 Di 2012,Barolo,Italy,2012,Giacomo Fenocchio,Sparkling,Barolo,73.67,4.2,,4.299595660694722,12
Il Bastardo Sangiovese Di Toscana 2017,Toscana,Italy,2017,Il Bastardo,Red,Sangiovese,7.6,3.4,,2.028148247292285,7
Xanthos Fly By Merlot 2016,Other,United States,2016,Xanthos,Red,Merlot,11.95,3.8,,2.48073127837752,8
Chateau Musar Hochar Pere Et Fils 2016,Bekaa Valley,Lebanon,2016,Chateau Musar,Sparkling,Unknown,21.05,3.9,,3.0469005601283903,8
Mouton Cadet Bordeaux Rouge 2014,Bordeaux,France,2014,Mouton Cadet,Red,Unknown,24.99,3.5,,3.2184757448468613,10
Barbanera Il Messo Governo Toscana 2018,Toscana,Italy,2018,Barbanera,Rose,Unknown,7.54,4.1,,2.0202221820198645,6
Line 39 Merlot 2014,Central Coast,United States,2014,Line 39,Red,Merlot,11.99,3.4,,2.484072969039423,10
Ca Dei Frati Ronchedone Rosso 2016,Other,Italy,2016,Ca Dei Frati,White,Unknown,20.56,4.2,,3.0233474405869645,8
Bodega Finca Las Moras Paz Malbec 2018,San Juan,Argentina,2018,Bodega Finca Las Moras,Red,Malbec,13.59,3.8,,2.6093342281630525,6
Chateau De Beaucastel Hommage A Jacques Perrin Chateauneufdupape 2015,Chateauneufdupape,France,2015,Chateau De Beaucastel,Rose,Unknown,370.18,4.5,,5.913989373828571,9
Rocca Di Castagnoli Buriano Toscana 2013,Toscana,Italy,2013,Rocca Di Castagnoli,Rose,Unknown,35.42,3.7,,3.5672766323546874,11
Domaine Des Roches Neuves Saumurchampigny 2018,Other,France,2018,Domaine Des Roches Neuves,Sparkling,Unknown,17.25,3.9,,2.847812143477369,6
689 Six Eight Nine Devils Candy Red Blend 2017,Napa Valley,United States,2017,689 Six Eight Nine,White,Red Blend,41.77,4.4,,3.732178378509084,7
Chateau Chassespleen Moulisenmedoc 2005,Moulisenmedoc,France,2005,Chateau Chassespleen,White,Unknown,53.11,4.1,,3.972365234434308,19
St Michaeleppan Sanct Valentin Cabernet Merlot Riserva 2013,Sudtirol Alto Adige,Italy,2013,St Michaeleppan,Sparkling,Merlot,30.37,4.0,,3.4134552790576573,11
Neethlingshof Estate Pinotage 2017,Stellenbosch,South Africa,2017,Neethlingshof Estate,Sparkling,Pinotage,11.34,3.9,,2.428336298299606,7
J Hofstatter Meczan Pinot Nero Alto Adige 2018,Sudtirol Alto Adige,Italy,2018,J Hofstatter,Red,Pinot Nero,21.99,3.3,,3.090587804566669,6
Stefano Accordini Acinatico Valpolicella Classico Superiore Ripasso 2017,Valpolicella Classico,Italy,2017,Stefano Accordini,Rose,Unknown,16.82,4.1,,2.822568654544802,7
Substance Cabernet Sauvignon Cs 2016,Columbia Valley,United States,2016,Substance,Sparkling,Cabernet Sauvignon,23.65,3.8,,3.163363114937942,8
Capcanes Mas Collet Barrica 2009,Montsant,Spain,2009,Capcanes,Sparkling,Unknown,23.77,3.5,,3.168424281372103,15
Paul Hobbs Crossbarn Cabernet Sauvignon 2016,Napa Valley,United States,2016,Paul Hobbs,White,Cabernet Sauvignon,74.13,4.2,,4.305820308668629,8
Hacienda Grimon Reserva 2015,Rioja,Spain,2015,Hacienda Grimon,White,Unknown,18.99,4.0,,2.9439125248241944,9
Enderle Moll Liaison Pinot Noir 2017,Baden,Germany,2017,Enderle Moll,Sparkling,Pinot Noir,21.4,3.8,,3.0633909220278057,7
Chateau Grand Corbin Saintemilion Grand Cru Grand Cru Classe 2005,Saintemilion Grand Cru,France,2005,Chateau Grand Corbin,White,Unknown,59.62,3.9,,4.087991088249925,19
Niepoort Douro Fabelhaft Tinto 2016,Douro,Portugal,2016,Niepoort,Red,Unknown,10.52,3.7,,2.353278207309564,8
Mouton Cadet Reserve Graves Rouge 2016,Graves,France,2016,Mouton Cadet,Rose,Unknown,15.25,3.7,,2.724579503053421,8
Anoranza Cabernet Shiraz 2016,La Mancha,Spain,2016,Anoranza,Red,Shiraz,4.29,3.4,,1.4562867329399256,8
Von Der Mark Suisje Gentille Ainsi Pinot Noir 2015,Baden,Germany,2015,Von Der Mark,Rose,Pinot Noir,41.24,4.2,,3.719408659148759,9
La Forge Estate Pinot Noir 2018,Pays Doc,France,2018,La Forge Estate,Red,Pinot Noir,7.89,3.6,,2.065596134857783,6
Chateau Pichon Longueville Comtesse De Lalande Pauillac Grand Cru Classe 2012,Pauillac,France,2012,Chateau Pichon Longueville Comtesse De Lalande,Rose,Unknown,125.86,4.3,,4.835170178098788,12
Pasqua Vigneti E Cantine Passionesentimento Rosso 2017,Veneto,Italy,2017,Pasqua Vigneti E Cantine,Red,Unknown,15.95,3.9,,2.769458829230853,7
Cornarea Roero 2011,Other,Italy,2011,Cornarea,White,Unknown,17.84,3.8,,2.8814431271518632,13
Martin Woods Gamay Noir 2017,Willamette Valley,United States,2017,Martin Woods,Red,Gamay,24.95,4.0,,3.216873822197528,7
Clos Manou Medoc 2014,Medoc,France,2014,Clos Manou,Red,Unknown,27.02,3.9,,3.2965773325320527,10
Caloian Feteasca Neagra 2018,Dealu Mare,Romania,2018,Caloian,Red,Unknown,7.49,3.5,,2.013568797529128,6
Thorsten Krieger Dornfelder 2017,Pfalz,Germany,2017,Thorsten Krieger,White,Unknown,9.03,3.2,,2.200552367428894,7
Straccali Chianti 2010,Chianti,Italy,2010,Straccali,Red,Chianti,10.37,3.3,,2.338917022241436,14
Tsantali Agathon 2014,Other,Greece,2014,Tsantali,White,Unknown,20.94,3.5,,3.041661205442391,10
Valle Dellacate Il Frappato Vittoria 2018,Other,Italy,2018,Valle Dellacate,Red,Frappato,21.99,3.6,,3.090587804566669,6
De Ladoucette Tenute Del Barone 2009,Toscana,Italy,2009,De Ladoucette,Rose,Unknown,53.16,4.1,,3.9733062338450447,15
Canyon Road Pinot Noir 2019,California,United States,2019,Canyon Road,Red,Pinot Noir,5.99,3.3,,1.790091412127358,5
Francis Ford Coppola Diamond Collection Cabernet Sauvignon Ivory Label 2017,Napa Valley,United States,2017,Francis Ford Coppola Winery,White,Cabernet Sauvignon,26.85,3.9,,3.2902658209548736,7
Terres Dorees Lancien Vieilles Vignes Beaujolais 2018,Beaujolais,France,2018,Terres Dorees,Rose,Unknown,14.0,3.7,,2.6390573296152584,6
Ruffino Tenuta Lodola Nuova Vino Nobile Di Montepulciano 2016,Vino Nobile Di Montepulciano,Italy,2016,Ruffino,White,Montepulciano,21.32,3.6,,3.059645599297644,8
Bel Avenir Brouilly 2014,Other,France,2014,Bel Avenir,Sparkling,Unknown,12.68,3.3,,2.54002594900908,10
Torre Rosazza Altro Merlot Merlot 2015,Colli Orientali Del Friuli,Italy,2015,Torre Rosazza,Sparkling,Merlot,21.07,4.0,,3.047850227816097,9
Eymann Sonnenberg Pinot Noir Trocken 2015,Pfalz,Germany,2015,Eymann,Sparkling,Pinot Noir,64.01,4.1,,4.159039321153911,9
Knipser Gaudenz Trocken 2016,Pfalz,Germany,2016,Knipser,White,Unknown,10.63,3.8,,2.3636801923538564,8
Domaine Berthoumieu Cuvee Charles De Batz Madiran 2014,Other,France,2014,Domaine Berthoumieu,Rose,Madiran,15.29,3.7,,2.727199019940971,10
Joel Gott Pinot Noir 2018,California,United States,2018,Joel Gott,Red,Pinot Noir,14.99,3.6,,2.7073833121145063,6
Cousinomacul Cabernet Sauvignon 2017,Maipo Valley,Chile,2017,Cousinomacul,Red,Cabernet Sauvignon,11.99,3.6,,2.484072969039423,7
San Leonardo Villa Gresti 2014,Vigneti Delle Dolomiti,Italy,2014,San Leonardo,Rose,Unknown,27.67,3.9,,3.3203487937988347,10
Cruse Wine Valdiguie Nouveau 2018,Other,United States,2018,Cruse Wine,Red,Valdiguie,21.99,4.2,,3.090587804566669,6
Domaine De La Charbonniere Chateauneufdupape Les Hautes Brusquieres 2017,Other,France,2017,Domaine De La Charbonniere,Red,Rhone Red Blends,64.89,3.8,16.0,4.172693528633077,7
