,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,category
0,Pomerol 2011,France,Pomerol,Château La Providence,4.2,100,95.0,2011,red
1,Lirac 2017,France,Lirac,Château Mont-Redon,4.3,100,15.5,2017,red
2,Erta e China Rosso di Toscana 2015,Italy,Toscana,Renzo Masi,3.9,100,7.45,2015,red
3,Bardolino 2019,Italy,Bardolino,Cavalchina,3.5,100,8.72,2019,red
4,Ried Scheibner Pinot Noir 2016,Austria,Carnuntum,Markowitsch,3.9,100,29.15,2016,red
5,Gigondas (Nobles Terrasses) 2017,France,Gigondas,Vieux Clocher,3.7,100,19.9,2017,red
6,Marion's Vineyard Pinot Noir 2016,New Zealand,Wairarapa,Schubert,4.0,100,43.87,2016,red
7,Red Blend 2014,Chile,Itata Valley,Viña La Causa,3.9,100,17.52,2014,red
8,Chianti 2015,Italy,Chianti,Castello Montaùto,3.6,100,10.75,2015,red
9,Tradition 2014,France,Minervois,Domaine des Aires Hautes,3.5,100,6.9,2014,red
10,Chianti Riserva 2013,Italy,Chianti,Poggiotondo,3.9,100,20.95,2013,red
11,Descendant 2016,Australia,Barossa,Torbreck,4.3,100,140.64,2016,red
12,Les Obriers de la Peira Terrasses du Larzac 2017,France,Terrasses du Larzac,La Pèira en Damaisèla,4.1,100,14.52,2017,red
13,Zenas Primitivo 2018,Italy,Puglia,La Bollina,3.6,100,9.26,2018,red
14,Cuvée Confidence Côtes du Rhône Rouge 2017,France,Côtes-du-Rhône,Domaine Fond Croze,3.7,100,8.49,2017,red
15,Shiraz 2018,Australia,South Eastern Australia,Barramundi,3.2,100,6.5,2018,red
16,Proprietor's Blend 2016,South Africa,Stellenbosch,Ernie Els,4.2,100,29.09,2016,red
17,La Bienquerida 2016,Spain,Bierzo,Losada,4.3,100,41.58,2016,red
18,Cabernet Sauvignon 2015,United States,California,Hacienda,3.8,100,7.95,2015,red
19,Fulgeo Negroamaro Salento 2016,Italy,Salento,San Donaci,4.0,100,12.9,2016,red
